City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Vila Velha,BR,2020-09-04 18:37:48,-20.33,-40.29,82.4,61,0,16.11
253,Salinas,US,2020-09-04 18:37:03,36.68,-121.66,73.99,68,1,4.7
254,Ridgecrest,US,2020-09-04 18:36:38,35.62,-117.67,95.0,10,0,2.86
255,Manturovo,RU,2020-09-04 18:37:49,58.34,44.76,51.94,90,1,5.7
256,Gasa,PS,2020-09-04 18:37:49,31.5,34.47,88.0,70,0,6.93
257,Mandalgovi,MN,2020-09-04 18:37:49,45.76,106.27,59.83,52,100,9.78
258,Umba,RU,2020-09-04 18:33:05,66.69,34.34,56.71,94,37,14.12
259,Lagoa,PT,2020-09-04 18:37:50,39.05,-27.98,71.82,85,16,21.34
260,Dunedin,NZ,2020-09-04 18:37:50,-45.87,170.5,53.01,67,0,1.99
261,Tigil,RU,2020-09-04 18:37:50,57.8,158.67,37.0,88,80,2.53
262,Sao Sebastiao,BR,2020-09-04 18:37:50,-23.76,-45.41,71.55,84,70,8.81
263,Salalah,OM,2020-09-04 18:37:49,17.02,54.09,80.6,83,75,9.17
264,Badou,TG,2020-09-04 18:37:51,7.58,0.6,73.45,86,79,3.49
265,Cabo San Lucas,MX,2020-09-04 18:33:26,22.89,-109.91,93.2,55,5,6.93
266,Hovd,MN,2020-09-04 18:37:51,48.01,91.64,58.12,48,0,8.21
267,Hami,CN,2020-09-04 18:37:51,42.8,93.45,70.18,40,0,9.51
268,Mar Del Plata,AR,2020-09-04 18:37:02,-38.0,-57.56,59.0,38,40,13.87
269,Fortuna,US,2020-09-04 18:37:52,40.6,-124.16,62.01,93,75,3.36
270,Biak,ID,2020-09-04 18:37:52,-0.91,122.88,76.3,83,64,7.56
271,Lubliniec,PL,2020-09-04 18:37:52,50.67,18.68,66.2,82,34,5.82
272,Cascais,PT,2020-09-04 18:37:52,38.7,-9.42,82.99,28,0,21.92
273,Komsomolskiy,UZ,2020-09-04 18:37:53,40.43,71.72,69.8,46,0,6.93
