City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
393,Los Llanos De Aridane,ES,77.0,28.66,-17.92,Valle Aridane
394,Machico,PT,75.2,32.7,-16.77,Dom Pedro Madeira
395,Mango,US,97.0,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon
396,Nabire,ID,75.81,-3.37,135.48,Hotel Nusantara Nabire
397,Camacha,PT,75.2,33.08,-16.33,Hotel Porto Santo & Spa
398,De-Kastri,RU,61.97,51.47,140.78,Somon Hotel
399,Inirida,CO,90.7,3.87,-67.92,Fuente del Guania Hotel de Lujo
400,Bereda,ES,78.01,43.27,-7.54,Pazo de Verdes
401,Greenville,US,91.4,35.61,-77.37,Holiday Inn Express Greenville
402,Ixtapa,MX,90.0,20.7,-105.2,Container Inn Puerto Vallarta
403,Yuli,NG,75.07,9.7,10.27,
404,Spirit River,CA,66.2,55.78,-118.84,Motel 49
405,Cayenne,GF,86.0,4.93,-52.33,Hôtel Le Dronmi
407,Corinto,GR,82.99,37.94,22.96,Ephira Hotel
409,Hualahuises,MX,94.55,24.88,-99.67,Quinta Vazquez
410,Omboue,GA,75.9,-1.57,9.26,Hotel Olako
412,Brejo Da Madre De Deus,BR,74.88,-8.15,-36.37,Pousada e Restaurante do Sossego
413,Dwarka,IN,82.36,22.24,68.97,Hotel Narayan Avezika Comfort
